地区,平均薪资,居民人均消费支出,差值
呼和浩特,71387,22714,48673
厦门,85166,33192,51974
哈尔滨,71771,19221,52550
海口,77632,22971,54661
乌鲁木齐,85990,28404,57586
福州,83175,24917,58258
石家庄,75114,16422,58692
武汉,88327,28307,60020
沈阳,82067,21815,60252
郑州,80963,20680,60283
银川,87291,25505,61786
贵阳,82685,20707,61978
重庆,81764,19248,62516
青岛,90840,27316,63524
长春,80425,16610,63815
南昌,82672,18716,63956
长沙,93293,28867,64426
太原,80825,16138,64687
西安,87125,21723,65402
西宁,84071,18628,65443
成都,88011,21644,66367
大连,87592,20577,67015
合肥,89022,21547,67475
兰州,85575,17913,67662
杭州,106709,37369,69340
济南,91651,22074,69577
宁波,102325,32200,70125
深圳,111709,40535,71174
天津,103931,29903,74028
南京,111071,30706,80365
广州,111839,31407,80432
上海,142983,43351,99632
北京,149843,39843,110000
拉萨,126936,11520,115416
南宁,83452,null,null
昆明,80253,null,null
