地区,2018年,2017年,2016年,2015年,2014年
哈尔滨,3.76,3.68,3.76,3.88,3.72
呼和浩特,3.6,3.65,3.66,3.56,3.5
银川,3.58,3.61,3.92,4.05,4.09
上海,3.57,3.9,4.1,4.1,4.2
石家庄,3.5,3.9,4.1,4,4.1
天津,3.5,3.5,3.5,3.5,3.5
南昌,3.48,3.38,3.51,3.35,3.27
长春,3.42,3.51,3.57,3.66,3.75
成都,3.4,3.2,3.3,3.19,2.87
太原,3.33,3.41,3.46,3.43,3.4
西安,3.26,3.32,3.33,3.37,3.4
厦门,3.24,3.47,3.36,3.22,3.03
沈阳,3.11,3.12,3.12,3.18,3.03
贵阳,3.1,3.1,3.1,3.12,3.14
昆明,3.09,3,3.11,2.98,2.34
乌鲁木齐,3.02,3.03,3,3.5,3.56
重庆,3,3.4,3.7,3.6,3.5
青岛,2.94,3.12,3.17,3,2.97
合肥,2.94,2.86,3.03,2.8,2.96
大连,2.58,2.43,2.91,2.93,2.65
郑州,2.51,2.76,1.9,1.6,1.37
长沙,2.46,2.67,2.74,2.6,2.85
西宁,2.45,2.45,2.49,2.49,2.98
福州,2.41,2.4,2.43,2.44,2.42
南宁,2.34,2.63,2.93,2.92,2.95
深圳,2.3,2.2,2.33,2.34,2.26
拉萨,2.2,2.2,2.2,2.2,2
武汉,2.14,2.84,2.94,3.08,3.15
兰州,2.09,2.04,2.17,1.77,1.77
济南,2.06,2.08,2.17,2.04,2.24
广州,1.9,2.4,2.41,2.2,2.26
宁波,1.79,2,2.01,2.01,1.95
南京,1.78,1.82,1.88,1.9,2.68
杭州,1.6,1.7,1.72,1.74,1.84
北京,1.4,1.43,1.41,1.39,1.31
海口,1.34,1.3,0.9,0.9,1.37
